source_code	name_he	name_en	makor	category	tags	has_curation_row	fiber_g	allergens_now	needs_tagging	ingredients_label	allergens_label	fiber_g_label	label_source	label_date	notes
539	גבינת שמנת 5% שומן, סימפוניה, טעמים שונים, שטראוס	Cheese, cow milk, cream, 5% fat, various flavors, Strauss	3	protein	{}	1	0	{}	0						
556	גבינת שמנת 3% שומן, בטעמים, סימפוניה, שטראוס	Cheese, cow milk, cream, 3% fat, flavored, Symphonia, Strauss	3	protein	{}	1	3	{}	0						
561	גבינה מותכת לייט, 7% שומן, שוויצרי/רוקפור/זיתים/סלמון/פיקנטי, מון בלאן	Cheese, cow milk, 7% fa,  extruded, light, various flavors, Mont Blanc	3	protein	{}	1	0	{}	0						
653	בשר בקר, חזה, מעושן או כבוש, יחיעם	Beef, breast, smoked/cured, Yechiam	3	protein	{}	1	0	{}	0						
661	קבב בקר אמיתי, טיבון ויל	Beef, kabob, raw, TivonVeal	3	protein	{}	1	0	{}	0						
662	קבב בקר טורקי/רומני/יווני עם חלבון צמחי,טיבון ויל	Beef and soy protein, kabob, Turkish/Romanian/Greek, TivonVeal	3	protein	{}	1	1.7	{}	0						
663	קציצות בקר מזרחי, זוגלובק	Beef, patties, Zoglobek	3	protein	{}	1	1.8	{}	0						
670	קציצות בקר אמיתיות לחימום, עוף טוב	Beef, patties, ready to heat, OfTov	3	protein	{}	1	6	{}	0						
681	נקניק, פסטרמה בקר, כתף בקר פרוס, יחיעם	Pastrami, beef, shoulder, cured, sliced, Yechiam	3	protein	{}	1	0.1	{}	0						
802	בשר עוף, חזה בגריל, כולל רצועות, שישליק, מאמא עוף	Chicken, breast, including strips, shashlik, steaks, MamaOf	3	protein	{}	1	0	{}	0						
889	בשר עוף, מעושן, הוד חפר, מילי	Chicken, smoked, Hod Hefer/Mili	3	protein	{}	1	0	{}	0						
910	קציצות עוף אמיתיות, לחימום, עוף טוב	Chicken patties, ready to heat, OfTov	3	protein	{}	1	6	{}	0						
923	בשר עוף, שווארמה פרגיות אמיתית, טיבון ויל	Chicken, pullet, shawarma, TivonVeal	3	protein	{}	1	0.3	{}	0						
1307	דג סלמון נורבגי פרוס/קפוא, בעשון מסורתי, תנובה	Fish, salmon, sliced/frozen, traditionaly smoked, Tnuva	3	protein	{}	1		{}	0						
1674	חומוס קלוי, גת	Chickpeas, roasted, Gat	2	protein	{vegan}	1	15.5	{}	0						
1698	טמפה, מזון אינדונזי שורשי, קפוא, כפרי בריא	Tempeh, frozen	3	protein	{vegan}	1		{}	0						
1790	טחון צמחוני, טבעול	Meat substitute, ground, Tivall	3	protein	{vegan}	1	8	{}	0						
1791	נקניקיות מן הצומח, טבעול	Sausages, vegetarian, Tivall	3	protein	{vegan}	1	4.1	{}	0						
1792	נקניקיות מן הצומח, זוגלובק	Sausages, vegetarian, Soglowek	3	protein	{vegan}	1	1	{}	0						
1805	קבב מן הצומח, זוגלובק	Kabob, vegetarian, Soglowek	3	protein	{vegan}	1	2	{}	0						
1810	שניצל מן הצומח מופחת שומן/99, טבעול	Shnitzel, vegetarian, reduced fat/99, Tivall	3	protein	{vegan}	1	6	{}	0						
8584	דג טונה 5% שומן, סוגים שונים, סטארקיסט	Fish, tuna, canned, 5% fat, NFS re oil, Starkist	2	protein	{}	1		{}	0						
8625	בשר עוף, חזה/פילה בתיבול גריל/ על האש 2.5-3% שומן, מאמא עוף	Chicken, breast/fillet, grilled, MamaOf	3	protein	{}	1	0	{}	0						
8690	לאבנה, ציזיקי למריחה, 5% שומן, מחלב בקר, גד	Labane, cow milk, Ziziki, 5% fat, Gad	3	protein	{}	1	0	{}	0						
8696	גבינת שמנת זיתים 5% שומן, ניו יורק לייט, גד	Cheese, cream, 5% fat, with olives, New York light, Gad	3	protein	{}	1	0.8	{}	0						
8741	נקניק, פסטרמה הודו בדבש/ דק רומנית, טירת צבי	Pastrami turkey with honey/thin Romanian, Tirat Tzvi	3	protein	{}	1	0.1	{}	0						
8868	קבב מן הצומח, מופחת שומן/99, טבעול	Kabob, vegetarian, reduced fat/99, Tivall	3	protein	{vegan}	1	7	{}	0						
9650	בשר בקר, המבורגר/סטייקבורגר כולל מזרחי,טיבון ויל	Beef, hamburger/steakburger including Eastern, TivonVeal	3	protein	{}	1	0	{}	0						
9768	שווארמה מן הצומח, טבעול	Shawarma, vegetarian, Tivall	2	protein	{vegan}	1	1	{}	0						
10126	המבורגר מן הצומח, מופחת שומן/99, טבעול	Hamburger, vegetarian, Tivall	3	protein	{vegan}	1	7	{}	0						
1826	אגוזי ברזיל טחונים, חמאת אגוזי ברזיל, חברת ירושלים לשומשום	Nuts, brazilnuts , ground	5	fat	{vegan}	1		{}	0						
2807	אורז, תבשיל להכנה מהירה, טעמים שונים, מוכן מתערובת, אסם	Rice, instant, various flavors, prepared from mix, Osem	2	carb		0			1						
8966	אטריות/פסטה, עם רוטב עגבניות, מוכן מתערובת, קנור	Pasta, with tomato sauce, prepared from mix, Knorr	2	carb		0	1		1						
8969	אטריות/פסטה, ברוטב עגבניות, מנה חמה, מוכן מתערובת, אסם	Pasta, with tomato sauce, prepared from mix, (instant, in cup),Osem	2	carb		0			1						
