| p2 | p4 | n_pool | a_all | a_wet | b_wet | a_wet_recipe | a_wet_fiber_null | a_wet_serving | examples |
|---|---|---|---|---|---|---|---|---|---|
| 11 | 1141 | 61 | 10 | 10 | 0 | 0 | 0 | 10 | {יוגורט 3% שומן, בטעמי פרי,שטראוס, יוגורט ביו 3%, תות/אפרסק/שזיף/מנגו, יוגורט ביו, 2.2% שומן, בטעם קוקוס, מולר} |
| 11 | 1165 | 17 | 5 | 5 | 0 | 0 | 3 | 5 | {תמ"י, תחליף לארוחה נוזלי,JEVITY, תמ"י, תחליף לארוחה נוזלי, ALITRAQ, תמ"י, תחליף לארוחה נוזלי,PERATIVE} |
| 11 | 1143 | 9 | 3 | 3 | 0 | 0 | 0 | 3 | {יוגורט מתוק 1.5% שומן, פרילי, פריגורה,  תנובה, יוגורט מתוק 3% שומן, טעמים שונים ,יופלה , תנובה, יוגורט, יופלה,3-4% שומן, דגנים מצופים שוקולד, טעמים שונים,תנובה} |
| 11 | 1183 | 39 | 19 | 2 | 1 | 0 | 1 | 0 | {תמ"י, משקה סמיך דל פחמימות, הדסה, אבקה, DRINK-EAT, תמ"י, הדסה שייק ללא חלבון, מוכן מאבקה על מים , טעמים שונים} |
| 11 | 1145 | 3 | 2 | 2 | 2 | 0 | 0 | 1 | {גלידת יוגורט, קפוא, טעמים שונים, בן & ג'ריס, יוגורט קפוא, בסיס להכנת גלידת יוגורט, (פרוזן), שטראוס} |
| 11 | 1154 | 2 | 2 | 2 | 1 | 0 | 2 | 2 | {מילקשייק וניל/תות/שוקו, מקדונלדס, מילקשייק, פרימיום שייק, טעמים שונים/אספרו, מקדונלדס} |
| 11 | 1174 | 40 | 3 | 2 | 0 | 0 | 0 | 0 | {תמ"י, IMPACT, תחליף נוזלי לארוחה, מגאפארם, תמ"י, JEVITY PLUS, תחליף נוזלי לארוחה, אבוט} |
| 11 | 1122 | 2 | 1 | 1 | 1 | 0 | 0 | 1 | {חלב מרוכז, ממותק, לא מדולל} |
| 11 | 1151 | 15 | 2 | 1 | 0 | 0 | 0 | 1 | {משקה חלב, 2.5% שומן, שוקולטה, יטבתה} |
| 11 | 1144 | 13 | 1 | 1 | 0 | 0 | 0 | 1 | {יוגורט מתוק 3% שומן, בתוספת בר גרנולה/קורנפלקס,שטראוס} |
| 11 | 1171 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | NULL |
| 11 | 1181 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | NULL |
| 11 | 1173 | 29 | 2 | 0 | 0 | 0 | 0 | 0 | NULL |
| 11 | 1100 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | NULL |
| 11 | 1112 | 3 | 2 | 0 | 0 | 0 | 0 | 0 | NULL |
| 11 | 1172 | 7 | 0 | 0 | 0 | 0 | 0 | 0 | NULL |
| 11 | 1182 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | NULL |
| 11 | 1111 | 15 | 0 | 0 | 0 | 0 | 0 | 0 | NULL |
| 13 | 1321 | 25 | 17 | 16 | 2 | 2 | 1 | 16 | {פודינג אורז, סחלב מוכן מאבקה, על בסיס חלב, מעדן חלב 3% שומן, שוקולד, שטראוס, טרה} |
| 13 | 1312 | 28 | 13 | 12 | 5 | 0 | 4 | 11 | {גלידה, בגביע (ופל), מקדונלדס, גלידה, שלגון, מיני שוקולד, לייט, נסטלה, גלידה, שלגון, מיני סנדוויץ', לייט, שטראוס} |
| 13 | 1311 | 20 | 5 | 5 | 2 | 0 | 2 | 5 | {גלידה בשומן צמחי, וניל, נסטלה/שטראוס/פלדמן, גלידה בשומן צמחי, וניל עם תוספות, נסטלה/שטראוס/פלדמן, גלידת שמנת בטעם שוקולד שטראוס CARTE D'OR, נסטלה JOYA} |
| 13 | 1325 | 6 | 1 | 1 | 1 | 0 | 0 | 1 | {ריבת חלב} |
| 13 | 1316 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | NULL |
| 13 | 1341 | 10 | 0 | 0 | 0 | 0 | 0 | 0 | NULL |
| 41 | 4110 | 39 | 15 | 11 | 1 | 2 | 0 | 11 | {פול יבש, מבושל, סלט פול ללא שמן, פול ירוק, קפוא, סנפרוסט} |
| 41 | 4142 | 28 | 4 | 4 | 3 | 0 | 1 | 4 | {רוטב טריאקי, רוטב טריאקי, אוליביה, רוטב נוסח סצ'ואן, קנור} |
| 41 | 4130 | 26 | 7 | 3 | 2 | 0 | 1 | 3 | {חומוס, גרגירים משומרים, חומוס, גרגירים, מבושלים עם מלח, מג'דרה, אורז ועדשים, מוכן מתערובת, אסם} |
| 41 | 4131 | 7 | 4 | 2 | 0 | 2 | 0 | 2 | {חמין צמחוני עם גריסי פנינה, חומוס, ביצה ותפוח אדמה, חמין צמחוני עם חיטה,שעועית,תפוח אדמה ללא תוספת שמן} |
| 41 | 4120 | 14 | 2 | 2 | 1 | 1 | 1 | 2 | {כדורי פלאפל מטוגנים ללא תוספת שמן, פלאפל, כדורים מוכנים לחימום, שלושת האופים} |
| 41 | 4181 | 14 | 1 | 1 | 0 | 0 | 0 | 1 | {קציצות עדשים כתומות, טבעול} |
| 41 | 4144 | 8 | 1 | 1 | 0 | 0 | 0 | 1 | {תחליף או תוספת לארוחה, ENSURE PLUS, אנשור פלוס, אבוט} |
| 41 | 4148 | 19 | 1 | 1 | 0 | 0 | 0 | 1 | {מעדן סויה, 2% שומן, שוקולד, תנובה} |
| 41 | 4140 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | NULL |
| 41 | 4160 | 14 | 0 | 0 | 0 | 0 | 0 | 0 | NULL |
| 41 | 4141 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | NULL |
| 41 | 4180 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | NULL |
| 51 | 5114 | 32 | 30 | 29 | 25 | 15 | 0 | 29 | {חלה, קלויה, פיתה, קלויה, פיתה דרוזית} |
