family	label	p2	p4	source_code	name_he	source	kcal	protein_g	protein_share	fiber_g	moisture	dry?	raw?	fiber?	outlier?	rec?	srv0?	eligible	has_serving	band	rank	flags	components	kosher_default	quality_default
17	poultry	24	2420	1000	בשר הודו, לבן או אדום, מבושל, נאכל ללא עור	ingredient	149.7	30.9	0.826	0.0	65.2	0	0	0	0	0	0	0	1	1	1			meat	3
17	poultry	24	2412	801	בשר עוף, חזה, ללא עצם, בגריל, נאכל עם עור	ingredient	187.3	29.5	0.630	0.0	60.8	0	0	0	0	0	0	0	1	1	2			meat	3
17	poultry	24	2412	804	בשר עוף, חזה, ללא עצם, צלוי, נאכל עם עור	ingredient	187.3	29.5	0.630	0.0	61.9	0	0	0	0	0	0	0	1	1	3			meat	3
17	poultry	24	2420	1012	בשר הודו, שוק, מבושל, נאכל ללא עור	ingredient	144.6	28.5	0.788	0.0	67.0	0	0	0	0	0	0	0	1	1	4			meat	3
17	poultry	24	2420	945	בשר הודו לבן, מבושל, נאכל עם עור	ingredient	163.6	28.3	0.692	0.0	65.0	0	0	0	0	0	0	0	1	1	5			meat	3
17	poultry	24	2420	960	בשר הודו לבן, צלוי, לפנ אם נאכל עם עור	ingredient	163.6	28.3	0.692	0.0	65.0	0	0	0	0	0	0	0	1	1	6			meat	3
17	poultry	24	2412	806	בשר עוף, חזה, ללא עצם, מבושל, נאכל עם עור	ingredient	175.4	27.2	0.620	0.0	65.7	0	0	0	0	0	0	0	1	1	7			meat	3
17	poultry	24	2414	863	בשר עוף, שוק, ללא עצם, מטוגן, ללא ציפוי, נאכל ללא עור	ingredient	181.7	27.2	0.599	0.0	63.6	0	0	0	0	0	0	0	1	1	8			meat	3
17	poultry	24	2416	891	בשר עוף, כנף, ללא עצם, בגריל, נאכל עם עור	ingredient	283.1	26.9	0.380	0.0	51.6	0	0	0	0	0	0	0	1	1	9			meat	3
17	poultry	24	2415	885	בשר עוף, ירך, ללא עצם, מטוגן, ללא ציפוי, נאכל עם עור	ingredient	254.2	25.9	0.408	0.0	55.8	0	0	0	0	0	0	0	1	1	10			meat	3
17	poultry	24	2415	871	בשר עוף, ירך, ללא עצם, בגריל, נאכל עם עור	industry	239.9	25.1	0.419	0.0	59.4	0	0	0	0	0	0	0	1	1	11			meat	3
17	poultry	24	2414	855	בשר עוף, שוק, ללא עצם, מבושל, נאכל עם עור	ingredient	191.4	24.0	0.502	0.0	65.2	0	0	0	0	0	0	0	1	1	12			meat	3
18	fish & seafood	26	2615	1337	דג פורל, מעושן	ingredient	241.0	35.5	0.589	0.0	52.1	0	0	0	0	0	0	0	1	1	1			parve	3
18	fish & seafood	26	2610	1147	דג אנשובי, משומר	ingredient	202.9	28.9	0.570	0.0	50.3	0	0	0	0	0	0	0	1	1	2			parve	3
