family	p2	p4	source_code	name_he	source	kcal	carb_g	fat_g	fiber_g	moisture	dry?	raw?	fiber?	outlier?	eligible	has_serving	p6	rank
40	75	7510	9479	סלט קצוץ עם חסה ברוטב אלף איים לייט, מקדונלדס	industry	36.9	4.8	1.3	1.0	89.9	0	0	0	1	0	1	751002	1
40	75	7510	3748	נבטים, אלפלפה, טריים	ingredient	26.9	0.2	0.7	1.9	92.8	0	0	0	0	0	1	751005	2
40	75	7510	3750	ארטישוק ירושלמי, טרי, עם קליפה	ingredient	32.4	7.0	0.0	0.6	31.2	0	1	0	0	0	1	751007	3
40	75	7510	3752	אספרגוס, טרי	ingredient	21.1	1.8	0.1	2.1	93.2	0	1	0	0	0	1	751008	4
40	75	7510	3754	נבטי מש, נבטים סיניים, טרי	ingredient	33.8	4.1	0.2	1.8	90.4	0	1	0	0	0	1	751010	5
40	75	7510	3756	שעועית ירוקה, טריה	ingredient	31.6	4.3	0.2	2.7	90.3	0	0	0	0	0	1	751018	6
40	75	7510	3762	סלק, טרי	ingredient	41.0	6.8	0.2	2.8	87.6	0	1	0	0	0	1	751025	7
40	75	7510	3766	כרוב ניצנים, טרי	ingredient	44.7	5.2	0.3	3.8	86.0	0	1	0	0	0	1	751027	8
40	75	7510	3770	כרוב, כבוש, משומר	ingredient	15.9	1.4	0.1	2.9	92.7	0	0	0	0	0	1	751030	9
40	75	7510	3772	כרוב סיני, טרי	ingredient	14.6	1.2	0.2	1.0	95.3	0	1	0	0	0	1	751040	10
40	75	7510	3774	כרוב אדום, טרי	ingredient	32.8	5.3	0.2	2.1	90.4	0	1	0	0	0	1	751050	11
40	75	7510	3777	כרובית, טריה, עם עלים וקלח	ingredient	12.9	1.9	0.1	0.8	35.9	0	0	0	0	0	1	751070	12
40	75	7510	3778	סלרי, כרפס, טרי	ingredient	13.4	1.4	0.2	1.6	95.4	0	1	0	0	0	1	751090	13
40	75	7510	3785	כוסברה, טריה	ingredient	22.1	0.9	0.5	2.8	92.2	0	0	0	0	0	1	751095	14
40	75	7511	3793	מלפפון, טרי, עם קליפה	ingredient	16.7	3.1	0.1	0.5	93.7	0	1	0	0	1	1	751110	15
40	75	7511	3794	חצילים טריים	ingredient	23.4	2.9	0.2	3.0	92.3	0	0	0	0	0	1	751112	16
40	75	7511	3801	קולרבי, טרי	ingredient	25.3	2.6	0.1	3.6	91.0	0	1	0	0	0	1	751120	17
40	75	7511	3805	כרישה, טריה, עם פסולת	ingredient	30.1	6.2	0.1	0.8	36.5	0	0	0	0	0	1	751125	18
40	75	7511	3807	חסה אמריקאית עגולה (ICEBERG)	ingredient	14.1	1.8	0.1	1.2	95.6	0	0	0	0	1	1	751130	19
40	75	7511	3812	פטריות, טריות	ingredient	26.3	2.3	0.3	1.0	92.4	0	0	0	0	0	1	751150	20
40	75	7511	3819	בצל ירוק, טרי	ingredient	33.0	4.7	0.2	2.6	89.8	0	1	0	0	0	1	751170	21
40	75	7511	3829	ריחן, בזיליקום, טרי	ingredient	25.4	1.0	0.6	1.6	91.6	0	1	0	0	0	1	751190	22
40	75	7512	3833	אפונה ירוקה, טריה	ingredient	73.0	9.4	0.4	5.1	78.9	0	0	0	0	0	1	751200	23
40	75	7512	3835	פלפל חריף, אדום או ירוק, טרי	ingredient	43.7	7.6	0.3	1.5	87.9	0	1	0	0	0	1	751210	24
40	75	7512	8241	פלפל חריף, סרנו, טרי	ingredient	29.8	3.0	0.4	3.7	90.3	0	1	0	0	0	1	751215	25
40	75	7512	10146	פלפל, טרי, לפנ לצבע	ingredient	22.2	3.3	0.2	1.8	93.3	0	1	0	0	0	0	751220	26
40	75	7512	3837	פלפל ירוק, טרי	ingredient	20.4	2.9	0.2	1.7	93.9	0	1	0	0	1	1	751221	27
40	75	7512	3839	פלפל אדום, טרי	ingredient	26.5	3.9	0.3	2.1	92.2	0	1	0	0	0	1	751222	28
40	75	7512	3841	פלפל צ'ילי צהוב, טרי	ingredient	25.2	2.0	0.4	3.4	91.8	0	1	0	0	0	1	751240	29
40	75	7512	3843	צנון, טרי	ingredient	14.1	1.8	0.1	1.6	95.3	0	1	0	0	0	1	751250	30
40	75	7512	3845	אצות, טריות	ingredient	44.3	7.6	0.3	0.8	84.8	0	0	0	1	0	1	751275	31
40	75	7512	3847	אפונה סינית, טריה	ingredient	37.8	4.9	0.2	2.6	88.9	0	0	0	0	0	1	751277	32
40	75	7512	3849	קישואים, כהים, חיים, עם קליפה	ingredient	17.9	2.1	0.3	1.0	94.8	0	1	0	0	0	1	751280	33
40	75	7512	3852	לפת, טריה	ingredient	26.5	4.6	0.1	1.8	91.9	0	0	0	0	0	1	751290	34
41	72	7210	3566	עלי סלק, מנגולד, טרי	ingredient	19.5	0.6	0.1	3.7	91.0	0	1	0	0	0	1	721011	1
41	72	7210	3570	עלי סלק, מבושל עם מלח, ללא תוספת שומן	ingredient	27.6	2.5	0.2	2.9	88.5	0	0	0	0	0	1	721012	2
41	72	7210	8219	מנגולד, מבושל, מסונן, ללא מלח, ללא תוספת שומן בבישול	ingredient	20.7	2.0	0.1	2.1	92.7	0	0	0	0	0	1	721042	3
41	72	7211	3583	רשאד, CRESS	ingredient	36.5	4.4	0.7	1.1	89.4	0	0	0	0	0	1	721101	4
41	72	7211	3584	עכוב, טרי	ingredient	46.9	5.7	0.7	3.5	85.6	0	1	0	0	0	1	721131	5
41	72	7211	3585	עכוב מבושל ללא תוספת שומן	ingredient	32.8	3.4	0.6	2.9	89.0	0	0	0	0	0	1	721132	6
41	72	7211	3588	חסה ערבית, חסה מסולסלת ESCAROLE Romaine	ingredient	17.3	0.7	0.3	3.1	93.5	0	0	0	0	0	1	721160	7
41	72	7211	8567	כרוב עלים, קייל ,KALE, מבושל, ללא תוספת שומן, עם מלח	ingredient	29.6	3.6	0.4	2.0	90.5	0	0	0	0	0	1	721192	8
41	72	7212	3590	תרד, טרי	ingredient	25.2	1.4	0.4	2.2	91.4	0	1	0	0	0	1	721251	9
41	72	7212	3596	תרד, משומר, מבושל, ללא תוספת שומן	ingredient	24.5	1.0	0.5	2.4	91.8	0	0	0	0	0	1	721252	10
41	72	7213	3600	גרגיר הנחלים, טרי	ingredient	14.3	0.8	0.1	0.5	95.1	0	1	0	0	0	1	721301	11
41	72	7213	9767	מלוחיה מבושלת ללא מלח	ingredient	41.8	5.3	0.2	2.0	87.2	0	0	0	0	0	1	721322	12
41	72	7213	3611	חמציץ-חומעה, מבושל ללא מלח	ingredient	19.0	0.3	0.6	2.6	92.7	0	0	0	0	0	0	721323	13
42	72	7220	3612	ברוקולי, טרי	ingredient	36.0	4.0	0.4	2.6	89.3	0	1	0	0	0	1	722011	1
42	72	7220	3617	ברוקולי, מבושל, קפוא, ללא תוספת שומן בבישול, עם מלח	ingredient	28.5	2.3	0.1	3.0	90.3	0	0	0	0	0	1	722012	2
43	75	7520	3901	ירקות לקט מעורב, אפונה, גזר, שעועית ירוקה, תירס, תפוחי אדמה, קפוא, סנפרוסט	industry	69.0	14.0	0.2	0.8	81.6	0	0	0	0	0	1	752001	1
43	75	7520	8308	ארטישוק, תחתיות, קפואות, סנפרוסט	industry	28.0	2.5	0.0	5.6	88.7	0	0	0	0	0	1	752010	2
43	75	7520	3912	אספרגוס, מבושל, קפוא, ללא תוספת שומן בבישול	ingredient	19.6	0.3	0.4	1.6	93.4	0	0	0	0	0	1	752020	3
43	75	7520	3914	נצרי במבוק, מבושלים, ללא תוספת שומן	ingredient	30.1	3.0	0.3	2.3	90.2	0	0	0	0	0	1	752030	4
43	75	7520	3917	שעועית, מבושלת, משומרת, לפנ לצבע, ללא תוספת שומן	ingredient	21.0	1.8	0.4	2.5	93.1	0	0	0	0	0	1	752049	5
43	75	7520	3920	שעועית ירוקה, מבושלת, משומרת, ללא תוספת שומן	ingredient	21.0	1.8	0.4	2.5	93.1	0	0	0	0	0	1	752050	6
43	75	7520	3924	שעועית צהובה, קפואה, מבושלת, ללא תוספת שומן, עם מלח	ingredient	27.4	3.4	0.2	3.0	90.8	0	0	0	0	0	1	752060	7
43	75	7520	3926	נבטי שעועית, מבושלים,לפנ לסוג, ללא תוספת שומן, עם מלח	ingredient	56.0	4.3	2.0	0.8	86.6	0	0	0	1	0	1	752070	8
43	75	7520	3929	סלק, מבושל, משומר, ללא תוספת שומן	ingredient	29.7	5.4	0.1	1.8	91.0	0	0	0	0	0	1	752080	9
43	75	7520	3930	כרוב ניצנים, מבושל, טרי, ללא תוספת שומן, עם מלח	ingredient	37.7	4.5	0.5	2.6	88.4	0	1	0	0	0	1	752090	10
43	75	7521	3932	כרוב סיני, מבושל, ללא תוספת שומן	ingredient	13.0	0.8	0.2	1.0	95.0	0	0	0	0	0	1	752100	11
43	75	7521	3933	כרוב לבן, מבושל עם מלח, ללא תוספת שומן בבישול	ingredient	24.3	3.6	0.1	1.9	92.0	0	0	0	0	0	1	752110	12
43	75	7521	3939	כרוב ממולא אורז ברוטב עגבניות ושמן זית	recipe	54.1	7.2	1.7	2.0	85.6	0	0	0	0	0	1	752112	13
43	75	7521	3947	כרוב ממולא אורז בשר בקר, עוף וירקות ברוטב טבעי	recipe	64.0	6.8	1.8	1.9	83.3	0	0	0	0	0	1	752113	14
43	75	7521	3948	כרוב אדום, מבושל, ללא תוספת שומן בבישול, עם מלח	ingredient	29.3	4.3	0.1	2.6	90.3	0	0	0	0	0	1	752120	15
43	75	7521	3949	כרוב מסולסל, מבושל, ללא תוספת שומן בבישול, עם מלח	ingredient	27.1	3.0	0.1	3.1	90.5	0	0	0	0	0	1	752130	16
43	75	7521	3954	כרובית, מבושלת, קפואה, ללא תוספת שומן בבישול, עם מלח	ingredient	17.6	1.0	0.2	2.7	93.5	0	0	0	0	0	1	752140	17
43	75	7521	3956	סלרי, כרפס, מבושל, ללא תוספת שומן בבישול, עם מלח	ingredient	17.8	2.4	0.2	1.6	93.6	0	0	0	0	0	1	752150	18
43	75	7521	8838	שומר, מבושל, ללא תוספת שומן בבישול, עם מלח	ingredient	17.8	2.4	0.2	1.6	93.6	0	0	0	0	0	1	752151	19
43	75	7521	3981	חצילים מבושלים עם מלח, ללא תוספת שומן בבישול	ingredient	34.4	6.1	0.2	2.5	88.8	0	0	0	0	0	1	752170	20
43	75	7521	9795	חצילים מבושלים ללא מלח, ללא תוספת שומן בבישול	recipe	34.8	6.2	0.2	2.5	89.7	0	0	0	0	0	1	752171	21
43	75	7521	3985	קולרבי, מבושל, עם מלח, ללא תוספת שומן בבישול	ingredient	32.7	5.6	0.1	1.1	89.8	0	0	0	0	0	1	752180	22
43	75	7521	3988	פטריות, משומרות, מבושלות, ללא תוספת שומן בבישול	ingredient	25.9	2.7	0.3	2.4	91.1	0	0	0	0	0	1	752190	23
43	75	7521	3994	פטריות שיטאקי, מיובשות, מבושלות	ingredient	61.6	12.3	0.2	2.1	83.5	0	0	0	0	0	1	752191	24
43	75	7521	9551	רוטב פטריות, מוכן מאבקה, קנור	industry	50.9	8.4	1.3		86.9	0	0	1	0	0	1	752192	25
43	75	7521	3998	פטריות מאודות עם מרגרינה	recipe	42.8	2.7	1.6	1.2	88.7	0	0	0	1	0	1	752193	26
43	75	7522	4007	חסה, מבושלת, ללא תוספת שומן	ingredient	14.1	1.8	0.1	1.2	95.1	0	0	0	0	0	1	752200	27
43	75	7522	4010	בצל יבש, מבושל, קפוא, עם מלח, ללא תוספת שומן בבישול	ingredient	26.9	5.0	0.1	1.6	91.8	0	0	0	0	0	1	752210	28
43	75	7522	9775	לבבות דקל, משומר	ingredient	29.0	2.2	0.6	2.4	90.2	0	0	0	0	0	1	752211	29
43	75	7522	4018	פטרוזיליה, מבושלת, ללא תוספת שומן בבישול	ingredient	37.8	3.0	0.8	3.3	87.7	0	0	0	0	0	1	752212	30
43	75	7522	8239	גזר לבן (Parsnip), מסונן, עם מלח, מבושל	ingredient	68.3	13.3	0.3	3.6	79.8	0	0	0	0	0	1	752220	31
43	75	7522	4024	אפונה ירוקה, מבושלת, משומרת, ללא תוספת שומן בבישול	ingredient	61.0	6.5	0.8	4.9	82.3	0	0	0	0	0	1	752240	32
43	75	7522	4032	פלפל ירוק, מבושל, ללא תוספת שומן בבישול, עם מלח	ingredient	29.8	5.5	0.2	1.2	91.3	0	0	0	0	0	1	752260	33
