| p2 | p4 | total | a | b | a_fiber_null | b_fiber_null | a_outlier | b_outlier | a_recipe | b_recipe | a_cooked | b_cooked | samples |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 11 | 1141 | 61 | 10 | 35 | 0 | 0 | 0 | 0 | 2 | 2 | 2 | 2 | {יוגורט, 1.5% שומן, רויון, תנובה / יוגורט פרי דיאט 0% שומן, פירות יער, דובדבן, מיקס פירות טרופי / יוגורט, אקטיביה דיאט 0% שומן טבעי, פטל אוכמניות, שזיף מיובש} |
| 11 | 1151 | 15 | 5 | 10 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | {משקה חלב 0% שומן, שוקו דיאט, יטבתה / משקה חלב 0% שומן, דיאט ,שוקו ,תנובה / משקה חלב, שוקו 2% שומן, תנובה} |
| 11 | 1111 | 15 | 3 | 12 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | {חלב 1% שומן בקרטון מועשר ויטמין A,D, וסידן / חלב 1% שומן, תנובה, טרה, הרדוף, יטבתה / חלב 1% שומן, עמיד} |
| 11 | 1143 | 9 | 2 | 5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | {יוגורט מתוק, דיאט 0% שומן, יופלה, טעמים שונים, תנובה / יוגורט ביופרו 0% שומן, שטראוס} |
| 11 | 1182 | 2 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | {מי גבינה, חומצי, נוזלי / מי גבינה, Whey, מתוק, נוזלי} |
| 11 | 1183 | 39 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | {שוקו ממכונה} |
| 11 | 1173 | 29 | 0 | 14 | 0 | 13 | 0 | 0 | 0 | 0 | 0 | 0 | {B: תמ"ל, מטרנה צמחית, עד גיל שנה, מוכן / B: תמ"ל, מטרנה מהדרין ספיישל, דל לקטוז, מוכן / B: תמ"ל, מטרנה לילה טוב, בהכנה סמיכה} |
| 11 | 1174 | 40 | 0 | 14 | 0 | 7 | 0 | 0 | 0 | 0 | 0 | 0 | {B: תמ"י, MSUD  רגיל / B: תמ"ל, ליפיל  NUTRAMIGEN 1 LGG, מוכן, פרמהבסט / B: תמ"ל,  PREGESTIMIL LIPIL, נוזלי, פרמהבסט} |
| 11 | 1172 | 7 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | {B: תמ"ל, איזומיל, סימילאק, מוכן / B: תמ"ל, סימילאק,Advance plus 1, מוכן, כולל מהדרין / B: תמ"ל, Advance plus 2/ plus 3, מוכן, כולל מהדרין, סימילאק} |
