| id | meals | kcal | protein | fat | carb | fat floor | protein share | eligible | sampled | U_inf eligible kcal · P · F | U_inf 24 | U_2 eligible | U_2 24 | joint U_inf 24 | joint U_2 24 bound · point | tier | window (continuous) U_inf · U_2 | fat/meal U_inf · U_2 | last solved attempt kcal · P · F · C | outcome | reached validator | errors per attempt | flag |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 1 | 3 | 1776 | 143 | 57 | 172 | 57.0 | 32.2% | 152 | 24 | 47677 · 2720 · 2396 | 7459 · 525 · 226 | 6442 · 425 · 365 | 4839 · 306 · 178 | 4525.9 | 3968.3 · 3968.3 | T3 | yes · yes | 77.5 · 46.3 | 1830 · 144 · 59 · 166 | retry | 2 | KCAL_OFF,FAT_BELOW_SAFETY_FLOOR / ok | - |
| 2 | 3 | 1754 | 113 | 53 | 207 | 36.9 | 25.8% | 316 | 24 | 111133 · 10398 · 4368 | 7362 · 650 · 187 | 7611 · 655 · 430 | 4998 · 414 · 158 | 3643.0 | 3481.5 · 3481.0 | T3 | yes · yes | 77.5 · 46.3 | 1739 · 114 · 59 · 172 | retry | 2 | KCAL_OFF / ok | - |
| 3 | 3 | 1978 | 106 | 59 | 254 | 43.1 | 21.4% | 217 | 24 | 65498 · 3537 · 2456 | 7239 · 512 · 215 | 6652 · 438 · 349 | 4774 · 306 · 174 | 3436.8 | 3366.1 · 3359.0 | T3 | yes · yes | 77.5 · 46.3 | 1820 · 111 · 65 · 178 | fail | 3 | KCAL_OFF,PROTEIN_OFF / KCAL_OFF / KCAL_OFF | - |
| 4 | 4 | 2152 | 167 | 65 | 226 | 50.0 | 31.0% | 318 | 24 | 111115 · 10441 · 4299 | 7362 · 650 · 187 | 9842 · 823 · 540 | 5987 · 501 · 180 | 5019.9 | 4539.0 · 4539.0 | T3 | yes · yes | 77.5 · 46.3 | 2148 · 167 · 55 · 226 | first | 1 | ok | - |
| 5 | 3 | 2812 | 156 | 84 | 358 | 46.7 | 22.2% | 146 | 24 | 45396 · 2541 · 2232 | 7379 · 511 · 221 | 6249 · 420 · 334 | 4772 · 296 · 173 | 4844.0 | 4065.7 · 4065.7 | T3 | yes · yes | 77.5 · 46.3 | 2707 · 160 · 85 · 301 | retry | 2 | KCAL_OFF / ok | - |
| 6 | 5 | 1974 | 175 | 59 | 186 | 52.4 | 35.5% | 318 | 24 | 111630 · 10438 · 4371 | 7362 · 650 · 187 | 12150 · 990 · 674 | 6651 · 566 · 184 | 5130.0 | 4878.5 · 4878.5 | T3 | yes · yes | 77.5 · 46.3 | 2102 · 164 · 58 · 217 | fail | 3 | FAT_BELOW_SAFETY_FLOOR,FAT_OFF / KCAL_OFF,PROTEIN_OFF / KCAL_OFF | - |
| 7 | 5 | 2468 | 120 | 74 | 330 | 53.6 | 19.4% | 319 | 24 | 111767 · 10441 · 4371 | 7362 · 650 · 187 | 12150 · 990 · 674 | 6651 · 566 · 184 | 3848.5 | 3848.5 · 3848.5 | T3 | yes · yes | 77.5 · 46.3 | 2262 · 149 · 66 · 255 | fail | 3 | KCAL_OFF,PROTEIN_OFF / KCAL_OFF,PROTEIN_OFF / KCAL_OFF,PROTEIN_OFF | - |
| 8 | 4 | 1426 | 94 | 43 | 167 | 34.6 | 26.4% | 148 | 24 | 45567 · 2697 · 2184 | 7379 · 511 · 221 | 8366 · 542 · 469 | 5755 · 359 · 200 | 3150.2 | 3150.2 · 3150.2 | T3 | yes · yes | 77.5 · 46.3 | 1434 · 94 · 37 · 168 | retry | 3 | FAT_BELOW_SAFETY_FLOOR,FAT_OFF / KCAL_OFF,PROTEIN_OFF / ok | - |
| 9 | 5 | 2411 | 185 | 72 | 255 | 55.5 | 30.7% | 158 | 24 | 49259 · 3019 · 2471 | 7216 · 514 · 208 | 10157 · 668 · 568 | 6437 · 425 · 204 | 5417.4 | 5144.3 · 5144.3 | T3 | yes · yes | 77.5 · 46.3 | 2427 · 183 · 72 · 243 | retry | 2 | FAT_BELOW_SAFETY_FLOOR,FAT_OFF / ok | - |
| 11 | 3 | 4073 | 136 | 122 | 608 | 54.6 | 13.4% | 257 | 24 | 87530 · 8556 · 3763 | 6433 · 587 · 192 | 7151 · 619 · 409 | 4560 · 384 · 165 | 4398.1 | 3562.6 · 3562.6 | T2 | yes · no | 77.5 · 46.3 | 2524 · 149 · 90 · 256 | fail | 3 | KCAL_OFF,PROTEIN_OFF,FAT_OFF / KCAL_OFF,PROTEIN_OFF / KCAL_OFF,PROTEIN_OFF | - |
