mmitzrach,mitzbsisi,mishkal,retention,ahuz,mida,kamut,is_visible
10,1607,202,521,,200,1,1
10,3663,480,3751,,103,3,1
10,4443,20,,,300,2,1
10,4497,5,,,400,1,1
10,4949,720,,,200,3,1
10,8812,210,431,,700,210,1
96,40,200,2151,,700,200,1
96,1530,200,2151,,700,200,1
96,4497,1,,,700,1,1
98,40,200,2151,,,,1
98,1530,200,,,,,1
98,4009,92,,,,,1
130,40,1500,,,,1,1
130,4497,14.5,,,,,1
154,15,200,101,,,,1
154,3201,129,,,,,1
154,3225,72,,,,,1
244,237,5,,,700,1,1
244,241,5,,,,,1
244,4949,130,,,,,1
270,269,200,,,,,1
270,4501,50,,,,,1
290,269,500,,,,,1
290,1578,171,,,,,1
290,4500,100,,,,,1
387,388,56,,,,,1
387,4949,500,,,,,1
396,279,250,,,,,1
396,4500,100,,,700,1,1
396,4670,200,,,902,2,1
396,4949,60,,,,,1
400,15,250,2152,,,,1
400,269,250,,,,,1
400,1555,14,,,,,1
400,1561,228,,,,,1
400,2283,200,,,,,1
400,2685,12,,,,,1
400,4500,165,,,,,1
400,4531,30,,,,,1
400,4943,15,,,,,1
401,269,500,2151,,904,2,1
401,1579,114,101,,100,6,1
401,4500,200,,,200,1,1
403,15,200,2151,,,,1
403,268,200,,,,,1
403,1910,20,302,,,,1
403,4385,28,,,,,1
403,4497,2,,,,,1
405,1910,25,302,,,,1
405,3820,45,3456,,,,1
405,3988,161,,,200,1,1
405,4397,20,,,,,1
405,4497,2.5,,,400,0.5,1
405,4949,150,,,,,1
405,9581,18,,,300,1.5,1
406,268,250,,,700,250,1
406,1910,36,,,,,1
406,3812,250,3780,,,,1
406,3820,120,3460,,,,1
406,4388,30,,,,,1
406,4497,3,,,,,1
406,8251,100,,,,1,1
408,268,200,2151,,,1,1
408,1910,20,302,,,,1
408,3820,64,3460,,,,1
408,3986,200,,,,,1
408,4449,20,,,,,1
408,4497,1,,,,,1
408,9581,8,,,,1,1
409,62,200,,,,,1
409,3414,30,,,,,1
409,3798,6,,,,,1
409,3825,10,,,,,1
409,4273,14,,,,,1
409,4497,1,,,,,1
409,4500,15,,,,,1
410,15,100,2151,,,,1
410,268,250,2151,,,1,1
410,1910,35,,,,,1
410,3798,12,3460,,,,1
410,3820,50,302,,,,1
410,4388,30,,,700,1,1
