mmitzrach,mida,mishkal
5,700,1
5,2000,1000
10,700,1
10,801,90
10,802,120
10,803,175
10,2000,1000
14,700,1
14,2000,1000
15,200,240
15,300,10
15,400,2.400000095367432
15,700,1
15,903,1000
15,904,1500
15,909,1000
15,910,2000
15,1100,1000
15,1103,2000
15,2000,1000
17,200,240
17,300,10
17,400,2.400000095367432
17,700,1
17,904,1000
17,2000,1000
19,200,240
19,300,10
19,400,2.400000095367432
19,700,1
19,903,1000
19,904,1000
19,2000,1000
20,200,240
20,300,10
20,400,2.400000095367432
20,700,1
20,903,1000
20,904,1000
20,2000,1000
25,200,240
25,300,10
25,400,2.400000095367432
25,700,1
25,903,1000
25,904,1000
25,1100,1000
25,1103,2000
25,2000,1000
29,200,240
29,700,1
29,904,1000
29,909,500
29,2000,1000
31,200,240
31,300,10
31,400,2.400000095367432
31,700,1
31,904,1000
31,2000,1000
32,200,240
32,700,1
32,904,1000
32,2000,1000
33,200,240
33,700,1
33,904,1000
33,2000,1000
34,200,245
34,700,1
34,2000,1000
35,200,240
35,700,1
35,2000,1000
36,200,240
36,700,1
36,2000,1000
37,400,1.299999952316284
37,700,1
37,2000,1000
38,200,57
38,700,1
38,2000,1000
39,200,306
39,700,1
39,907,175
39,2000,1000
40,300,20
40,400,8
40,600,200
40,604,500
40,700,1
40,2000,1000
41,300,20
41,400,8
41,600,150
41,603,200
41,700,1
41,2000,1000
43,200,240
43,700,1
43,904,1000
43,909,500
43,2000,1000
45,300,20
45,400,8
45,604,500
45,700,1
45,2000,1000
46,300,20
46,400,8
46,600,200
46,700,1
46,2000,1000
48,300,20
48,400,8
48,600,200
48,602,150
48,700,1
48,2000,1000
50,300,20
50,400,8
50,600,150
50,700,1
50,2000,1000
51,300,20
51,400,8
51,600,150
51,700,1
51,2000,1000
52,300,20
52,400,8
52,600,200
52,602,150
52,700,1
52,2000,1000
54,300,20
54,400,8
54,600,150
54,700,1
54,2000,1000
55,300,20
55,400,8
55,600,150
55,700,1
55,2000,1000
56,300,20
56,400,8
56,600,200
56,700,1
56,2000,1000
57,300,20
57,400,8
57,700,1
57,1100,250
57,2000,1000
58,300,20
58,400,8
58,600,150
58,604,500
58,700,1
58,2000,1000
61,700,1
61,1100,100
61,2000,1000
62,300,20
62,400,8
62,600,150
62,700,1
62,2000,1000
63,700,1
63,1100,100
63,2000,1000
67,300,20
67,400,8
67,600,150
67,700,1
67,2000,1000
68,300,20
68,400,8
68,600,150
68,700,1
68,1100,500
68,1103,1000
68,2000,1000
69,700,1
69,1100,100
69,2000,1000
70,700,1
70,1100,100
70,2000,1000
74,300,20
74,400,8
74,600,170
74,700,1
74,2000,1000
82,300,20
82,400,8
82,600,150
82,700,1
82,2000,1000
83,300,20
83,400,8
83,600,130
83,700,1
83,2000,1000
84,600,200
84,700,1
84,2000,1000
85,300,20
85,400,8
85,600,200
85,700,1
85,2000,1000
86,300,20
86,400,8
86,600,150
86,700,1
86,2000,1000
87,300,20
87,400,8
87,600,150
87,700,1
87,2000,1000
88,300,20
88,400,8
88,700,1
88,1100,1000
88,2000,1000
91,300,20
91,400,8
91,600,150
91,700,1
91,2000,1000
93,300,20
93,400,8
93,600,100
93,700,1
93,2000,1000
94,202,36
94,300,20
94,400,8
94,600,200
94,700,1
94,1005,260
94,1006,104
94,1007,260
94,2000,1000
96,307,100
96,700,1
96,2000,1000
97,300,20
97,400,8
97,600,170
97,700,1
97,2000,1000
98,307,100
98,700,1
98,2000,1000
99,300,20
99,400,8
99,700,1
99,1100,1500
99,2000,1000
100,300,20
100,400,8
100,600,200
100,700,1
100,2000,1000
105,600,160
105,700,1
105,2000,1000
107,300,20
107,400,8
107,600,150
107,700,1
107,2000,1000
108,600,84
108,700,1
108,2000,1000
110,300,20
110,400,8
110,600,150
110,700,1
110,2000,1000
114,300,20
114,400,8
114,600,150
114,700,1
114,2000,1000
115,300,20
115,400,8
115,600,200
115,700,1
115,2000,1000
116,300,20
116,400,8
116,600,200
116,700,1
116,2000,1000
117,300,20
117,400,8
117,600,200
117,700,1
117,2000,1000
118,300,20
118,400,8
118,602,125
118,700,1
118,906,250
118,2000,1000
127,300,40
127,301,12
127,302,44
127,400,11
127,401,4
127,402,18
127,700,1
127,906,250
127,2000,1000
130,300,40
130,301,12
130,302,44
130,400,11
130,401,4
130,402,18
130,700,1
130,2000,1000
132,300,40
132,301,12
132,302,44
132,400,11
132,401,4
